"expose_id","expose_title","chapter_index","chapter_title","structure_level","text_content","text_length_chars","text_length_words","sentence_count_in_chapter","coherence_score","previous_sentence","sentence_position_in_chapter","variant_name","coherence_category","text_length_category","position_category","expose_level_avg_coherence","relative_coherence","has_previous_sentence"
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","chapter","1. Gewonnene Erkenntnisse
11. Teilhaber
4. Städte im Vergleich
1. Instagram und Facebook
3. Gängige Produkte zusammengefasst
2. Fazit des Vergleiches
10.",153,22,7,0.20299561321735382,"",-1,"full_model","niedrig","kurz","kapitel",0.4008650094270706,-0.19786939620971677,False
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","1.",2,1,7,0.09256141632795334,"",0,"full_model","niedrig","sehr_kurz","erster_satz",0.34285194405487607,-0.25029052772692273,False
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","Gewonnene Erkenntnisse
11.",26,3,7,0.10154345631599426,"1.",1,"full_model","niedrig","sehr_kurz","anfang",0.34285194405487607,-0.2413084877388818,True
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","Teilhaber
4.",12,2,7,0.10100048035383224,"Gewonnene Erkenntnisse
11.",2,"full_model","niedrig","sehr_kurz","anfang",0.34285194405487607,-0.24185146370104382,True
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","Städte im Vergleich
1.",22,4,7,0.10246527194976807,"Teilhaber
4.",3,"full_model","niedrig","sehr_kurz","mitte",0.34285194405487607,-0.240386672105108,True
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","Instagram und Facebook
3.",25,4,7,0.09881092607975006,"Städte im Vergleich
1.",4,"full_model","niedrig","sehr_kurz","mitte",0.34285194405487607,-0.244041017975126,True
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","Gängige Produkte zusammengefasst
2.",35,4,7,0.0949152261018753,"Instagram und Facebook
3.",5,"full_model","niedrig","sehr_kurz","ende",0.34285194405487607,-0.24793671795300076,True
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",0,"Gliederung","sentence","Fazit des Vergleiches
10.",25,4,7,0.1274850070476532,"Gängige Produkte zusammengefasst
2.",6,"full_model","niedrig","sehr_kurz","ende",0.34285194405487607,-0.21536693700722287,True
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",1,"Motivation und Problemstellung","chapter",">
> Verschiedene Städte verkaufen ihre eigenen Merchandise Artikel, manche
> können sich an hohen Verkaufszahlen erfreuen und manche eher nicht,
> liegt das an den verschiedenen Städten, den Einwohnern oder den
> Touristen oder ist das Ganze auf das Marketing der gewissen Städte
> zurückzuführen? Während meines Praktikums bei Goldfisch Art, einer
> Werbeagentur die sehr eng mit dem Stadtmarketing Marburg zusammen
> Arbeitet, war ich mit in den Erschaffungsprozess eines solchen
> Vorhabens involviert, der „Marburg Shop"" soll ins Leben gerufen werden
> und mit der Hilfe von Kooperationen und eines Onlineshops, Merchandise
> Artikel der Stadt Maburg verkaufen. Während meines Praktikums bei Goldfisch Art, einer Werbeagentur die sehr eng mit dem Stadtmarketing Marburg zusammen Arbeitet, war ich mit in den Erschaffungsprozess eines solchen Vorhabens involviert, der „Marburg Shop“ soll ins Leben gerufen werden und mit der Hilfe von Kooperationen und eines Onlineshops, Merchandise Artikel der Stadt Maburg verkaufen. Verschiedene Städte verkaufen ihre eigenen Merchandise Artikel, manche können sich an hohen Verkaufszahlen erfreuen und manche eher nicht, liegt das an den verschiedenen Städten, den Einwohnern oder den Touristen oder ist das Ganze auf das Marketing der gewissen Städte zurückzuführen? Da es beim Verkaufen bekanntlich stark um Marketing geht, stellt sich die Frage, wie solche Artikel Am besten beworben werden können? Welche Rahmenbedingungen und Erfolgsfaktoren gelten für die Produkte an sich, für die Preisgestaltung, die Vertriebswege und die Werbemittel, Auch als die „4P“ des Marketings bekannt: Product, Price, Place & Promotion bekannt, bzw. können überhaupt allgemeingültige Rahmenbedinungen und Erfolgsfaktoren ausgesprochen werden, welche auch auf andere Städte übertragbar sind? . Da es beim Verkaufen bekanntlich
> stark um Marketing geht, stellt sich die Frage, wie solche Artikel Am
> besten beworben werden können?",1956,283,8,0.37198036909103394,"",-1,"full_model","mittel","lang","kapitel",0.4008650094270706,-0.02888464033603666,False
"10_Expose 2_AnmerkungenAW","10 Expose 2 AnmerkungenAW",1,"Motivation und Problemstellung","sentence",">
> Verschiedene Städte verkaufen ihre eigenen Merchandise Artikel, manche
> können sich an hohen Verkaufszahlen erfreuen und manche eher nicht,
> liegt das an den verschiedenen Städten, den Einwohnern oder den
> Touristen oder ist das Ganze auf das Marketing der gewissen Städte
> zurückzuführen?",297,46,8,0.38076287508010864,"",0,"full_model","mittel","mittel","erster_satz",0.34285194405487607,0.037910931025232575,False
